Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
"The worst customer service I have ever seen, I have lived in 3 countries experiencing different services and this one takes the gold medal for bad service.",Banco Falabella,maps,7.0,Santiago,"Lo peor que he visto en atencion al cliente, he vivido en 3 países teniendo diversos servicios y este se lleva la medalla de oro a la mala atención.",NEGATIVE,0.0010797876166179,0.9967179894447328,0.0006133522256277,0.0015888343332335,0.13864637294318,2024-06-24,Social Capital,1,Social External,Banking,Poor,June,6,2024,Social External,451,0.13864637294318
"Very few cashiers and executives, in addition to being slow. Move to another place.",Banco Falabella,maps,7.0,Santiago,"Muy pocos cajas y ejecutivos, además de lentos. Pasen a otro lado",NEGATIVE,0.032107088714838,0.5163958072662354,0.4054983556270599,0.0459987372159957,23.4856266528368,2024-01-04,Other,5,Other,Banking,Poor,January,1,2024,Other,451,23.4856266528368
"It says closed, it should be open at this time but it's not.",Banco Falabella,maps,7.0,Puerto Montt,Se mantiene cerrado dice que deberia estar abierto en este horario pero no es asii,NEGATIVE,0.0027813601773232,0.9438141584396362,0.047442477196455,0.0059619350358843,2.65025987755507,2023-11-22,Other,5,Other,Banking,Poor,November,11,2023,Other,451,2.65025987755507
"Terrible service from the young lady who was at cash register 3 at the Falabella bank in Plaza Egaña today, Friday September 22nd.",Banco Falabella,maps,7.0,Santiago,Pésima atención por parte de la señorita que se encontraba hoy viernes 22 de septiembre en la caja 3 del banco falabella de plaza egaña.,NEGATIVE,0.0003921309544239,0.9944179058074952,0.0051869954913854,3.0113271805021213e-06,0.29856287001166,2023-09-22,Social Capital,1,Social External,Banking,Poor,September,9,2023,Social External,451,0.29856287001166
The store is comfortable and very well stocked for all tastes and needs.,Banco Falabella,maps,7.0,La Serena,Cómoda la tienda muy bien surtida para todos los gustos y necesidades.,POSITIVE,0.9994619488716124,2.807863711495884e-05,0.0004446731763891,6.522348849102855e-05,99.96842854598071,2024-03-02,Other,5,Other,Banking,Poor,March,3,2024,Other,344,99.96842854598071
"It's not where the leader is... it's where the jumbo is, in the mall.",Banco Falabella,maps,7.0,Curanilahue,"no es donde esta el líder ....es donde está el jumbo , en el mall",NEUTRAL,0.0143278576433658,0.4376761615276336,0.5414542555809021,0.0065417503938078,28.50549854338169,2024-04-10,Other,5,Other,Banking,Poor,April,4,2024,Other,138,28.50549854338169
Terrible,Banco Falabella,maps,7.0,San Pedro de la Paz,Pesimo,NEGATIVE,5.340357529348694e-05,0.9997599720954896,0.0001545646227896,3.203473534085788e-05,0.01306858866882,2023-11-11,Other,5,Other,Banking,Poor,November,11,2023,Other,451,0.01306858866882
"Terrible service, very poor organization, zero friendliness and no willingness to provide information correctly, of all the staff present, the only friendly person in the establishment was the security guard.",Banco Falabella,maps,7.0,Lebú,"Pésima atención, malísima organización, cero amabilidad y nada de disposición para dar información correctamente, de todo el personal que había, la única persona amable en el establecimiento fue el guardia",NEGATIVE,4.2389019654365256e-05,0.9997658133506776,0.0001692747755441,2.248307282570749e-05,0.01270264074264,2024-01-10,Human Capital,2,Social Internal,Banking,Poor,January,1,2024,Social Internal,451,0.01270264074264
"They never have availability for anything, it's always closed and the service is terrible. I have been trying to get my card for a week and the system is always down.",Banco Falabella,maps,7.0,Santiago,"nunca tienen disponibilidad para nada, siempre está cerrado y la atención es pésima llevo una semana intentando sacar mi tarjeta y siempre está caído",NEGATIVE,0.0002137239207513,0.9994329810142516,0.0002794920292217,7.3708884883672e-05,0.03534699353622,2023-12-15,Social Capital,1,Social External,Banking,Poor,December,12,2023,Social External,451,0.03534699353622
The schedule is wrong... it doesn't say there that they close at 14:00.,Banco Falabella,maps,7.0,Calama,El horario está mal... ahí no dice que cierran a las 14:00,NEGATIVE,0.0048693222925066,0.9717400074005128,0.0184948239475488,0.0048957862891256,1.41167342662811,2024-01-23,Other,5,Other,Banking,Poor,January,1,2024,Other,451,1.41167342662811
"Excellent and pleasant attention from the guy at the entrance, he welcomed me kindly and helped me with all my inquiries.",Banco Falabella,maps,7.0,San Antonio,"Excelente y grata atencion del chico de la entrada, me recibió de manera amable y me ayudo con todas mis consultas",POSITIVE,0.9984519481658936,2.7980742743238807e-05,0.0014954884536564,2.458375456626527e-05,99.91996923927218,2024-03-13,Other,5,Other,Banking,Poor,March,3,2024,Other,344,99.91996923927218
"The executive Milka Jofre, treated me very badly, June 7, 2023. How do they have this kind of person working here? She broke my wife's card, took it out of the trash, and returned it. She should ask the customer before doing anything. Greetings, Christian Varas.",Banco Falabella,maps,7.0,La Serena,"La ejecutiva Milka Jofre , me atendió muy mal , 7 junio 2023 . Como tienen este tipo de persona trabajando aquí , le rompe la tarjeta a mi señora , la saca del basurero y se la entrega , debe preguntarle al cliente antes de hacer algo ,  saludos Christian Varas",NEGATIVE,0.0002407137799309,0.9973461627960204,0.0023999025579541,1.315375448029954e-05,0.1440665058908,2023-06-07,Social Capital,1,Social External,Banking,Poor,June,6,2023,Social External,451,0.1440665058908
Very good service.,Banco Falabella,maps,7.0,La Serena,Muy buena atención.,POSITIVE,0.9998306035995485,2.6098607122548856e-05,0.000113520596642,2.972784932353533e-05,99.98873638978694,2024-06-11,Social Capital,1,Social External,Banking,Poor,June,6,2024,Social External,344,99.98873638978694
Great 🌱🌿💚,Banco Falabella,maps,7.0,Rancagua,Genial 🌱🌿💚,POSITIVE,0.9989320635795592,4.868720861850306e-05,0.0010049925185739,1.4273214219429065e-05,99.94345598388465,2023-12-02,Other,5,Other,Banking,Poor,December,12,2023,Other,344,99.94345598388465
"Waiting for over 40 minutes, they still haven't served me and I have number G001.
Out of the 6 counters, there are 3 people, one isn't serving and the other two have a terrible attitude.
More than 30 people waiting for attention!!!",Banco de Chile,maps,4.0,Antofagasta,"Más de 40 minutos esperando, aun no atienden y tengo el número G001.
De las 6 cajas hay 3 personas, una no atiende y las otras dos con pésima disposición.
Más de 30 personas esperando atención!!!",NEGATIVE,0.0003081691102124,0.9990448355674744,0.0006094758282415,3.741144246305339e-05,0.06129070243332,2024-03-13,Other,5,Other,Banking,Poor,March,3,2024,Other,451,0.06129070243332
"One hour waiting at the customer service counter and only one person assisting. There was some support, but it was only for a few minutes.",Banco de Chile,maps,4.0,San Fernando,Una hora esperando en el mesón de atención al cliente y solo una persona atendiendo. Hubo un apoyo pero fue por pocos minutos,NEGATIVE,0.0203794110566377,0.8739136457443237,0.0135536901652812,0.0921531841158866,2.7156256139278403,2023-07-10,Human Capital,2,Social External,Banking,Poor,July,7,2023,Social External,451,2.7156256139278403
"It only has 6 hours of service, 5 out of the 7 days of the week, and extremely slow.",Banco de Chile,maps,4.0,San Felipe,Solo cuenta con 6 horas de atención con 5 de los 7 de la semana y lentos a más no poder.,NEGATIVE,0.0010145922424271,0.9980446100234984,0.000865792739205,7.490879215765744e-05,0.14474886120297,2024-04-12,Social Capital,1,Social External,Banking,Poor,April,4,2024,Social External,451,0.14474886120297
"They provide very poor service. There is a big difference in quality and service time compared to a branch in the eastern sector. Here it seems like a Civil Registry office. Bad experience with the waiting time.
Customer service by the machine gave me the letter G and a guy with the letter M arrived 20 minutes later to do the same procedure before me.
They might be giving priority based on the ID number to assist.
(Security guard with a bad attitude towards my question)",Banco de Chile,maps,4.0,Santiago,"Atienden pesimo. Es mucha la diferencia de la calidad y el tiempo de atencion con una sucursal del sector oriente. Aca parace oficina del Registro Civil. Mala experiencia con el tiempo de espera
Atención cliente por la maquina me dio letra G y paso antes que yo un tipo con letra M que llego 20 minutos despues a hacer el mismo tramite
O hacen diferencia por el RUT para atender
(Guardia con mala disposicion ante mi pregunta)",NEGATIVE,0.0001464226952521,0.9994059801101683,0.0003873412206303,6.021038643666543e-05,0.03400933055672,2024-02-05,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,0.03400933055672
"Six banks from the square came together to lend over $36 billion to SalfaCorp in a deal sealed this Tuesday, according to an official statement from the company, marking a milestone in the depressed...",Banco de Chile,news,4.0,Santiago,"Seis bancos de la plaza se unieron para prestar más de $ 36 mil millones a SalfaCorp en un acuerdo sellado este martes, según un comunicado oficial de la compañía, marcando un hito en el deprimido en… [+1608 chars]",NEUTRAL,0.0340086035430431,0.0013541433727368,0.964570939540863,6.628955452470109e-05,51.629407331347466,2024-06-18,Other,5,Other,Banking,Poor,June,6,2024,Other,138,51.629407331347466
Good service and a very beautiful architectural place,Banco de Chile,maps,4.0,Santiago,Buena atención y un lugar arquitectónico muy hermoso,POSITIVE,0.9996318817138672,2.376646443735808e-05,0.0002606637426652,8.370345312869176e-05,99.97622135851998,2023-11-20,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,99.97622135851998
"To open an account as a foreign resident (with a residence card), you are met with an initial NO. The bank employees have very little vision in not being able to see beyond appearances. Do you have permanent residency? Do you have a fixed contract? There they are, showing how narrow-minded these employees are. They don't see that there are foreign currencies? Euros? Dollars? It must be that the bank is looking for unprepared people to pay them less money, and the consequences of this are poor (offensive) service. Furthermore, there are missed opportunities for the bank to make money. I recommend BICE bank, good service, good business opportunities.",Banco de Chile,maps,4.0,Osorno,"Para abrir una cuenta como extranjero residente (con célula) te encuentras con un NO de inicio. Muy poca visión de los empleados del banco en NO poder ver qué más hay más allá de las apariencias. Tienen los residencia definitiva? Tienen contrato fijo? Ahí se quedan, lo que demuestra lo cortitos de mente que son estos empleados. No ven que hay divisas extranjeras? Euros? Dólares? Cuestión, debe ser que el banco busca personas poco preparadas para pagarles poco dinero,y las consecuencias de ello es una pésima atención (ofensiva). Además están las oportunidades perdidas para que el banco gane dinero. Recomiendo banco BICE, buena atención, buenas oportunidades de negocio",NEGATIVE,0.0028636937495321,0.8307650089263916,0.1567517220973968,0.009619559161365,8.12395547982305,2024-05-07,Social Capital,1,Environmental,Banking,Poor,May,5,2024,Environmental,451,8.12395547982305
Fast and friendly service!,Banco de Chile,maps,4.0,La Serena,Atención rápida y cordial!,POSITIVE,0.9994820952415466,2.320207931916229e-05,0.0004743362078443,2.041417064901907e-05,99.97192633454688,2023-11-29,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,99.97192633454688
"Very slow service, they have a cash differential and customer service but in the end you are attended by the executives from the modules. Very few staff.",Banco de Chile,maps,4.0,Temuco,"Atencion muy lenta, tienen diferencial de caja y atencion al cliente pero al final igual te atienden las ejectivas de los modulos. Muy poco personal",NEGATIVE,0.0004089976719114,0.9802913665771484,0.0015791342593729,0.0177204553037881,0.11985648015979,2024-02-01,Human Capital,2,Social Internal,Banking,Poor,February,2,2024,Social Internal,451,0.11985648015979
"The attention is very slow, with these new waiting systems in which a letter and number are shown, it is not easy to know at what point in the waiting list you are.",Banco de Chile,maps,4.0,Curanilahue,"Muy lenta la atención, con estos nuevos sistemas de espera en los cuales se muestra letra y número, no es fácil saber en que punto de la lista de espera te encuentras.",NEGATIVE,0.0023511669132858,0.9740317463874816,0.0201985593885183,0.0034185172989964,1.2450446607545,2024-02-26,Other,5,Other,Banking,Poor,February,2,2024,Other,451,1.2450446607545
"The service is terrible, super slow, and they don't provide solutions to your problems.",Banco de Chile,maps,4.0,Curanilahue,Malísima la atención súper lenta y no dan solución a tus problemas,NEGATIVE,0.0001418369211023,0.9995391368865968,0.0002734437293838,4.563514448818751e-05,0.02785587857943,2024-03-25,Social Capital,1,Social External,Banking,Poor,March,3,2024,Social External,451,0.02785587857943
The Bank of Chile is the slowest and most inefficient by far from Santiago. There are few people in line and they take a long time. The staff is talkative and slow.,Banco de Chile,maps,4.0,Santiago,El Banco de Chile mas lento e ineficiente por lejos de Santiago. Poca gente en fila y se demoran. Personal hablador y sacador de vuelta.,NEGATIVE,0.001372595783323,0.976784646511078,0.0178697761148214,0.0039729098789393,1.03074838407337,2023-12-22,Human Capital,2,Social Internal,Banking,Poor,December,12,2023,Social Internal,451,1.03074838407337
"I worked at this bank, there is a lot of mistreatment in the workplace, it's not just about the service. The already hired women at the bank show no kindness in sharing knowledge, they mistreat the workers especially when they are external. The platform manager is very naive, the same workers deceive him as they please.

Terrible bank, zero professionalism even to work there.",Banco de Chile,maps,4.0,Quilpué,"Yo preste servicio en este banco , existe mucho maltrato laboral no es tan solo el servicio .
Las señoras ya contratadas del banco , ninguna amabilidad de compartir conocimientos, tratan mal a los trabajadores más cuando son externos.
El jefe de plataforma súper ingenuo, las mismas trabajadora se lo  engrupren como quieren.

Pésimo banco , hasta para trabajar cero profesionalidad.",NEGATIVE,0.0001961593370651,0.995826542377472,0.0038390699774026,0.0001382502086926,0.21156943257665,2024-01-31,Social Capital,1,Social Internal,Banking,Poor,January,1,2024,Social Internal,451,0.21156943257665
"Every year, there are millions of resources stagnant in the financial system with no activity, whose holders have passed away or simply forgotten about their existence. These are the so-called bank claims...",Banco de Chile,news,4.0,Santiago,"Cada año, son millones los recursos empozados en el sistema financiero sin movimientos, cuyos titulares fallecieron o simplemente se olvidaron de su existencia. Son las denominadas acreencias bancari… [+4021 chars]",MIXED,0.0041372361592948,0.1283096969127655,0.1182952523231506,0.7492578625679016,6.328486232087011,2024-06-03,Environment,0,Environmental,Banking,Poor,June,6,2024,Environmental,67,6.328486232087011
Customer service is too slow.,Banco de Chile,maps,4.0,Copiapó,La atencion al cliente es demasiado lenta,NEGATIVE,6.194393790792674e-05,0.9998003840446472,0.0001216571763507,1.602071279194206e-05,0.01227725260832,2024-03-28,Social Capital,1,Social External,Banking,Poor,March,3,2024,Social External,451,0.01227725260832
"It is a comfortable, spacious, impeccable site with good ventilation and lighting. With excellent and attentive staff. The information is timely, top-notch, the one required by each client and the necessary alternatives.",Banco de Chile,maps,4.0,Santiago,"Es un sitio cómodo, amplio, impecable, buena ventilación e iluminación. Con un excelente y atento personal. La información es oportuna, de primera línea, la requerida por cada cliente y las alternativas necesarias.",POSITIVE,0.9986385703086852,1.994376179936808e-05,0.0012330192839726,0.0001083668612409,99.92550799506716,2023-06-11,Human Capital,2,Social Internal,Banking,Poor,June,6,2023,Social Internal,344,99.92550799506716
Quick attention,Banco de Chile,maps,4.0,Santiago,Rápida atención,POSITIVE,0.9656450748443604,0.0075373314321041,0.0267974194139242,2.0154184312559664e-05,97.90437845513225,2024-02-06,Other,5,Other,Banking,Poor,February,2,2024,Other,344,97.90437845513225
"On the 15th of May 2023 at 12:30, I went to this office to make a withdrawal of $200,000 at the ATM. My card was cloned and someone took an additional $200,000. In the hall, there was a Colombian woman waiting to use the ATM.",Banco de Chile,maps,4.0,Quilpué,"El dia 15.05.23 a las 12,30 concurrí a esta oficina a realizar un avance por $200.000 en el ATM , me clonaron la tarjeta y alguien se apropio de $ 200.000 extras. En el hall había una colombiana a la espera de utilizar el ATM",NEUTRAL,0.004978846758604,0.4588237106800079,0.5361153483390808,8.214419358409941e-05,27.30365209281444,2023-05-17,Other,5,Other,Banking,Poor,May,5,2023,Other,138,27.30365209281444
"The premiere of the series heads has marked the script of the day of the Chile Bank Santiago Premier Padel P1, although not all couples have enjoyed a happy ending. Shortly after starting the j...",Banco de Chile,news,4.0,Santiago,"El estreno de las cabezas de series ha marcado el guion del día del Banco de Chile Santiago Premier Padel P1, aunque no todas las parejas han gozado de un final feliz.
Al poco tiempo de empezar la j… [+2004 chars]",POSITIVE,0.5612642765045166,0.0057265143841505,0.4134560823440552,0.0195531379431486,76.79923176765442,2024-05-31,Other,5,Other,Banking,Poor,May,5,2024,Other,344,76.79923176765442
"If you are looking to withdraw cash near the beaches of Reñaca, at a safe and clean ATM, this is the right place. Controlled access through fingerprint, in addition to kiosks for statements and cash deposits. Great!",Banco de Chile,maps,4.0,Valparaíso,"Si buscas retirar efectivo cerca de las playas de Reñaca, en un cajero seguro y limpio, éste es el lugar correcto. Acceso controlado mediante huella digital, además de tótems para estados de cuenta e ingresos de dinero. Bien!",POSITIVE,0.9813697338104248,0.0002581088047008,0.0181278306990861,0.0002444081765133,99.0433649159968,2024-02-13,Other,5,Governance,Banking,Poor,February,2,2024,Governance,344,99.0433649159968
"Atrocious... 1 person attending to the public while the others, I don't know what they are doing...poor service, zero empathy with the people.",Banco de Chile,maps,4.0,Iquique,"Atroz... 1 persona atendiendo publico mientras los demás no se que hacen...mala atención , cero empatia con  la gente",NEGATIVE,0.0001083740353351,0.9990656971931458,0.0008188973879441,7.021997134870617e-06,0.0517822729307199,2024-01-10,Social Capital,1,Social External,Banking,Poor,January,1,2024,Social External,451,0.0517822729307199
"Very well attended by the staff, but the system is very slow. One hour for a procedure is excessively slow.",Banco de Chile,maps,4.0,Santiago,"Muy bien atendido por el personal, pero muy lento el sistema. Una hora para un trámite es exageradamente lento.",MIXED,0.0014696191065013,0.0536850579082965,0.0005793355521745,0.9442659020423888,0.17592868825886,2024-06-07,Human Capital,2,Social Internal,Banking,Poor,June,6,2024,Social Internal,67,0.17592868825886
Slow service and closes much earlier than the official time.,Banco de Chile,maps,4.0,Valparaíso,Atención lenta y cierra mucho antes de la hora oficial,NEGATIVE,0.0024779357481747,0.9934142827987672,0.0039928895421326,0.0001148805604316,0.4474380519241,2024-06-10,Social Capital,1,Social External,Banking,Poor,June,6,2024,Social External,451,0.4474380519241
Lugar interesante para visitar.,Banco de Chile,maps,4.0,Santiago,Interesting place to visit.,POSITIVE,0.9992042183876038,5.718841930502094e-05,0.0007231690105982,1.548831096442882e-05,99.95658028929029,2023-06-27,Other,5,Other,Banking,Poor,June,6,2023,Other,344,99.95658028929029
Slow service. Many boxes are missing. 1 hour wait for service,Banco de Chile,maps,4.0,Curicó,Atención lenta. faltan muchas cajas. 1 hora de espera para atención,NEGATIVE,8.200150477932766e-05,0.9996838569641112,0.0002231714170193,1.1030315363314004e-05,0.01935872132889,2024-01-05,Social Capital,1,Social External,Banking,Poor,January,1,2024,Social External,451,0.01935872132889
"A very modern, well-maintained, clean and very organized bank; it is a very nice bank on the inside. The customer service provided by security guards, cashiers, executives, and others is excellent. It has a technological ATM for customers where you can withdraw and deposit money using different authentication methods. I love it.",Banco de Chile,maps,4.0,Valdivia,"Un banco muy moderno, bien cuidado, limpio y muy ordenado; es un banco muy bonito en su interior. Es excelente la atención al cliente por parte de guardias, cajeras, ejecutivas y otros. Tiene un tecnológico cajero automático para clientes en que se puede girar y depositar dinero con distintos métodos de autentificación. Me encanta.",POSITIVE,0.9980733394622804,2.799914364004508e-05,0.0016878738533705,0.0002108446205966,99.89172763889655,2023-12-23,Social Capital,1,Social External,Banking,Poor,December,12,2023,Social External,344,99.89172763889655
"It's Friday in Chile, and it will be packed with the best paddle tennis, with both brackets competing in the round of sixteen. This day is usually reserved for the quarterfinals, but due to complications...",Banco de Chile,news,4.0,Santiago,"Es viernes en Chile y vendrá cargado del mejor pádel, con ambos cuadros disputando la jornada de octavos de final. Este día suele estar reservado para los cuartos, pero con motivo de las complicacion… [+1708 chars]",NEUTRAL,0.3623329102993011,0.0157631710171699,0.5274998545646667,0.0944040566682815,62.60828375816345,2024-05-31,Other,5,Other,Banking,Poor,May,5,2024,Other,138,62.60828375816345
Excellent,Banco de Chile,maps,4.0,Santiago,Excelente,POSITIVE,0.9996997117996216,5.564309685723856e-05,0.0002284216461703,1.6294421584461816e-05,99.98139226227067,2024-01-29,Other,5,Other,Banking,Poor,January,1,2024,Other,344,99.98139226227067
"Bank sinks companies. They do not allow Transbank to make advance payments to us, they do not respond to our credit card request,,, just when we thought we had seen it all, now a company tries to pay us an invoice and the bank rejects it because it exceeds the limit hahaha a payment of 1100 dollars !!!!! This country is a joke, big business owners defraud the treasury for years with surreal amounts and they do not allow small business owners to work, generating very normal incomes, they are already making us pack our bags and leave this joke of a country",Banco de Chile,maps,4.0,Valparaíso,"Banco hunde empresas. No permiten a transbank que nos ingrese abonos anticipados , no nos da respuesta a solicitud de tarjeta de créd.,, cuando ya creíamos que lo habíamos visto todo, ahora una empresa nos intenta pagar una factura y el banco la rechaza porque excede el limte jajjajsj un pago de 1100 dolares !!!!! Este país es un chiste ,los grandes empresarios defraudan al fisco por años sumas surrealistas y al pequeños empresarios no le permiten trabajar generando ingresos de  lo más normales , ya están consiguiendo que estemos preparando las maletas e irnos de este país de chiste",NEGATIVE,0.0003437846025917,0.996243953704834,0.0032104754354804,0.0002017417864408,0.1949022320332,2023-12-21,Social Capital,1,Social External,Banking,Poor,December,12,2023,Social External,451,0.1949022320332
closed on Saturdays,Banco de Chile,maps,4.0,Chillán,cerrado los sabados,NEUTRAL,0.0881307125091552,0.1619693636894226,0.7434850931167603,0.0064147878438234,45.98732590675354,2023-05-20,Other,5,Other,Banking,Poor,May,5,2023,Other,138,45.98732590675354
"Only 3 measly boxes available, in which ONLY ONE is in charge of processing transactions like cash deposits. I waited for 42 MINUTES to be attended to in order to make a deposit, but it never happened. I left without being able to complete my transaction. They made me waste my very valuable time. The cashiers are too SLOW and INEFFICIENT. If they are going to have such slow cashiers, they should at least activate the rest of the boxes. Terrible service, I don't recommend anyone to do transactions there unless they have nothing else to do and can spend the whole morning there waiting.",Banco de Chile,maps,4.0,Santiago,"Sólo 3 míseras cajas habilitadas, en las cuales SÓLO UNA se encarga de los trámites como depósitos en efectivo. Estuve 42 MINUTOS esperando que me atendieran para hacer un depósito, nunca me tocó, me fui y no pude hacer mi trámite. Me hicieron perder mi valiosísimo tiempo. Los cajeros demasiado LENTOS e INEFICIENTES, si van a tener cajeros taaan lentos, mínimo deberían habilitar el resto de las cajas. Pésimo servicio, no recomiendo a nadie hacer trámites allí a menos que no tenga más nada que hacer y pueda pasar toda la mañana ahí metido esperando.",NEGATIVE,0.00017785403179,0.9996127486228944,0.0001818931486923,2.747506368905306e-05,0.02688006061362,2024-04-10,Environment,0,Environmental,Banking,Poor,April,4,2024,Environmental,451,0.02688006061362
"Excellent attention, speed at checkouts, efficient executives, and very agile customer service, friendly and attentive security guards.",Banco de Chile,maps,4.0,Quilpué,"Excelente atención,  rapidez en cajas, ejecutivas eficientes y servicio al cliente muy ágil,  guardias amables y atentos.",POSITIVE,0.994594395160675,5.249862806522288e-05,0.0051631336100399,0.0001899245835375,99.7175961965695,2023-05-17,Social Capital,1,Social External,Banking,Poor,May,5,2023,Social External,344,99.7175961965695
"How slow it is at the cash registers, a lot of waiting, especially the one that is next to the wall.",Banco de Chile,maps,4.0,Iquique,"Que lentitud en la cajas, mucha espera, sobre todo la caja que está pegada a la pared.",NEGATIVE,0.0041475174948573,0.8580212593078613,0.1350136697292328,0.0028175371699035,7.1654352359473705,2023-05-05,Other,5,Other,Banking,Poor,May,5,2023,Other,451,7.1654352359473705
They serve very well and quickly at this branch.,Banco de Chile,maps,4.0,Santiago,Atienden muy bien y rápido en esta sucursal.,POSITIVE,0.9997206330299376,5.733290163334459e-05,0.0002077814133372,1.4227354768081568e-05,99.98245237366064,2024-04-18,Other,5,Other,Banking,Poor,April,4,2024,Other,344,99.98245237366064
"Impeccable, the cashiers were very friendly and willing to clarify all doubts.",Banco de Chile,maps,4.0,San Fernando,"Impecable, las cajeras muy amables y dispuestas a aclarar todas las dudas.",POSITIVE,0.9871193170547484,0.0044410685077309,0.0008073318749666,0.0076322793029248,98.75229829922318,2024-02-08,Other,5,Other,Banking,Poor,February,2,2024,Other,344,98.75229829922318
"I really like this bank, everything is fast.",Banco de Chile,maps,4.0,Santiago,Me gusta mucho éste banco todo es rapido,POSITIVE,0.9997090697288512,2.475456312822644e-05,0.0002043767453869,6.172151915961877e-05,99.98112581015448,2024-01-09,Other,5,Other,Banking,Poor,January,1,2024,Other,344,99.98112581015448
Fast,Banco de Chile,maps,4.0,Santiago,Rápido,POSITIVE,0.9812714457511902,0.0042499285191297,0.0144616877660155,1.693047488515731e-05,98.8502289634198,2023-07-18,Other,5,Other,Banking,Poor,July,7,2023,Other,344,98.8502289634198
That branch no longer exists.,Banco de Chile,maps,4.0,Valdivia,Ya no existe esa sucursal .,NEGATIVE,0.0439402684569358,0.6725552678108215,0.2767671346664428,0.0067373965866863,18.23238357901573,2024-06-14,Other,5,Other,Banking,Poor,June,6,2024,Other,451,18.23238357901573
Quick attention and very good service from the cashier.,Banco de Chile,maps,4.0,Pucón,Rápida atención y muy buena de parte de la caja.,POSITIVE,0.9996955394744872,4.27529557782691e-05,0.0002325405803276,2.9143722713342868e-05,99.98118097646513,2024-05-16,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,344,99.98118097646513
"I liked the service, it was moderately fast, the only thing that took long were the lines, but once they assist you, it's faster. I got my fan card and right there I went to the side and deposited, everything very quickly but at least one hour waiting inside.",Banco de Chile,maps,4.0,Santiago,"Me gustó la atención estuvo medianamente rápida lo único que tardaba eran las filas pero ya cuando te atienden es más rápido ,saque mi tarjeta fan y ahí mismo pase al lado y deposite ,todo muy rápido pero mínimo una hora esperando adentro",POSITIVE,0.8855977058410645,0.0002845837152563,0.0004092798917554,0.113708458840847,88.58023457869422,2023-11-01,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,88.58023457869422
Excellent,Banco de Chile,maps,4.0,Santiago,Excelente,POSITIVE,0.9996997117996216,5.564309685723856e-05,0.0002284216461703,1.6294421584461816e-05,99.98139226227067,2023-06-05,Other,5,Other,Banking,Poor,June,6,2023,Other,344,99.98139226227067
Few employees,Banco de Chile,maps,4.0,Valparaíso,Poco personal,NEUTRAL,0.0103885773569345,0.1466268748044967,0.8426878452301025,0.0002966071479022,43.17324999719858,2023-07-11,Other,5,Social Internal,Banking,Poor,July,7,2023,Social Internal,138,43.17324999719858
"While Banco de Chile maintains its high stock prices, SQM's shares continue to decline. The result is that Citi Bank and the Luksic group could once again displace the giant...",Banco de Chile,news,4.0,Santiago,"Mientras el Banco de Chile retiene sus altos precios en bolsa, las acciones de SQM siguen en declive. El resultado es que el banco de Citi y el grupo Luksic podrían nuevamente desplazar al gigante de… [+1745 chars]",NEUTRAL,0.0090271886438131,0.3448398411273956,0.6307483315467834,0.0153846489265561,32.44013544172048,2024-06-18,Other,5,Other,Banking,Poor,June,6,2024,Other,138,32.44013544172048
"Good service, low number of people and faster service than in other branches, in addition to being close to my home.",Banco de Chile,maps,4.0,Valparaíso,"Buena atención,poca afluencia de gente y atención más rápida que en otras sucursales, además de la cercanía a mi hogar",POSITIVE,0.9995071887969972,5.096756285638549e-05,0.0004014087608084,4.042504224344157e-05,99.97078931774011,2023-06-22,Social Capital,1,Social External,Banking,Poor,June,6,2023,Social External,344,99.97078931774011
The service is fast and they attend very well.,Banco de Chile,maps,4.0,Santiago,La atencion es rapida y atienen muy bien,POSITIVE,0.9997324347496032,2.424928425170947e-05,0.0002033526398008,4.006531162303872e-05,99.98341110695036,2024-04-24,Social Capital,1,Social External,Banking,Poor,April,4,2024,Social External,344,99.98341110695036
The best bank treats you well and helps you with everything.,Banco de Chile,maps,4.0,Temuco,El mejor banco te tratan bien y te ayudan en todo,POSITIVE,0.9899472594261168,0.0002973626251332,0.0096090864390134,0.0001463288499508,99.47518026456235,2024-01-09,Other,5,Other,Banking,Poor,January,1,2024,Other,344,99.47518026456235
"Banco de Chile de Macul has been carrying out renovation works at the branch for months. During the week, they work all night cutting iron, drilling, and on Sundays they work all day with the same function. They have all the neighbors in the area desperate.",Banco de Chile,maps,4.0,Santiago,"Banco de Chile de Macul, lleva meses realizando trabajos de remodelación de la sucursal. Durante la semana trabajan toda la noche cortando fierro, taladrando y el domingo todo el día con la misma función.
Tienen desesperados a todos los vecinos del sector",NEUTRAL,0.1931945085525512,0.154311329126358,0.5972190499305725,0.0552751123905181,49.18040335178375,2024-03-03,Other,5,Other,Banking,Poor,March,3,2024,Other,138,49.18040335178375
