Review,traduccion_nueva,ds,Bank Name,data_source,state,Sentiment_score,Predicted_SASB,Predicted_Pilar,dimension_SSINDEX,dimension_SASB,relevance,relevance_2,Pilar,SASB,Sentiment_gen,year,month,month_num,city
Chavo de cajas moreno pelo corto y una chica china muy prepotentes ven que vas a pagar varias cosas mejor te dicen que cambies de caja y luego seguir esperando mejor me largué que pésimo servicio me cambiaré de nómina mejor,"Cashier guy with short dark hair and a very arrogant Chinese girl. They see that you are going to pay for several things. They better tell you to change the cashier and then keep waiting. Better, I left, what a terrible service, I will change payroll better.",2024-02-21,Banco Santander,maps,Ciudad de México,15,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2024.0,February,2.0,Ciudad de México
Pésimo servicio si tienen la opcion de ir a otro banco o cambiarse mejor,Terrible service if you have the option of going to another bank or changing better,2023-12-14,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2023.0,December,12.0,Ciudad de México
"La atención fue súper buena, la ejecutiva Ana me ayudó con mi apertura de cuenta y todo salió muy bien. Fue una gran experiencia","The service was super good, the executive Ana helped me with my account opening and everything went very well. It was a great experience",2024-06-18,Banco Santander,maps,Ciudad de México,95,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
"Una excelente sucursal, nunca he tenido problemas, y en cuestión de servicio de primera. La subdirector super amable","An excellent branch, I have never had problems, and in terms of first-class service. The super friendly assistant director",2024-06-18,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2024.0,June,6.0,Ciudad de México
Servicio negasto ni abrio mi cuenta y me mando a linea 30 minutos que perdi,Negative service did not even open my account and sent me online for 30 minutes that I lost,2024-05-10,Banco Santander,maps,Ciudad de México,15,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2024.0,May,5.0,Ciudad de México
"Para ser ""select"", bastante pésimo el servicio. Los ejecutivos se ponen a platicar en lugar de atender. Y son bastante lentos.","To be &quot;select&quot;, the service is quite terrible. Executives start talking instead of attending. And they are quite slow.",2024-01-09,Banco Santander,maps,Ciudad de México,20,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,January,1.0,Ciudad de México
"La señorita de ventanilla siempre está con una actitud muy fea, te atienden de mala gana, horrible el servicio","The lady at the counter always has a very ugly attitude, they serve you reluctantly, the service is horrible",2024-05-29,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,REPUTATION,CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,May,5.0,Ciudad de México
Si fue una atención muy excelente,"Yes, it was very excellent service.",2024-06-14,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
"Pésimo servicio, no es posible que para una siempre reposición se tarden tanto.","Terrible service, it is not possible that a replacement always takes so long.",2024-03-25,Banco Santander,maps,Ciudad de México,15,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2024.0,March,3.0,Ciudad de México
"Pésima atención de la gerente y de una chica de atención a clientes, ya que ninguna se dignó para asesorarme en relación a algo de mi tarjeta.
FLOJAS Y PREPOTENTES. 🤮","Terrible attention from the manager and a customer service girl, since none of them deigned to advise me regarding anything on my card. LAZY AND PREPOTENTIVE. 🤮",2023-12-05,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,December,12.0,Ciudad de México
"El servicio de Santander es malo en general pero esta sucursal se lleva el premio a la peor sucursal, no se por que santander no toma cartas en el asunto, pues parece que si no vas por una tarjeta o un crédito simplemente ni te deja pasar el chavo de los turnos que ni esta bien capacitacitado y mucho menos conoce los procesos de su propia sucursal.

CAMBIEN DE BANCO MEJOR Y EVITEN CORAJES CON SU APP, SUS SUCURSALES Y SOBRETODO SU PERSONAL ASI COMO PRODUCTOS NO VALE LA PENA.","Santander&#39;s service is bad in general but this branch takes the award for the worst branch, I don&#39;t know why Santander doesn&#39;t take action on the matter, because it seems that if you don&#39;t go for a card or credit it simply won&#39;t let you pass the shift guy who is not even well trained and much less knows the processes of his own branch. CHANGE BETTER BANK AND AVOID COURAGE WITH YOUR APP, YOUR BRANCHES AND ESPECIALLY YOUR STAFF AS WELL AS PRODUCTS IT IS NOT WORTH IT.",2023-11-06,Banco Santander,maps,Ciudad de México,10,Human Capital,Social Internal,WORK-LIFE BALANCE,LABOR PRACTICES,si,si,Social Internal,Human Capital,NEGATIVE,2023.0,November,11.0,Ciudad de México
"LA PEOR ATENCION DE TODAS EN ESTA SUCURSAL, SEGUN NO HAY SISTEMA EN CAJAS, UNA TIPA SIEMPRE DICE ESO! PERO NADA MAS COQUETEA A VER SI LE CAE UN RICO DE POR LA ZONA, VAS A QUE TE RESUELVAN ALGO Y AHHH ES QUE YO NO VEO ESO, VAYA CON AQUEL, AQUEL QUE NO SOY YO, QUE SI PERO ANTES DE LAS 15.30, ME CAMBIARE DE BANCO SOLO POR UDS¡","THE WORST SERVICE OF ALL IN THIS BRANCH, ACCORDING TO THERE IS NO CASH SYSTEM, A GUY ALWAYS SAYS THAT! BUT JUST FLIRT, LET&#39;S SEE IF YOU FALL FOR A RICH GUY FROM THE AREA, YOU&#39;RE GOING TO HAVE SOMETHING RESOLVED FOR YOU AND AHHH, I DON&#39;T SEE THAT, GO WITH THAT ONE, THE ONE WHO IS NOT ME, WHAT IS, BUT BEFORE 3:30 PM, I MEET I WILL CHANGE BANK JUST FOR YOU!",2023-09-01,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,September,9.0,Ciudad de México
Terrible servicio. Parece que ser Select es lo peor del mundo. Más de una hora esperando porque tienen sólo una ejecutiva y está atendiendo otras cosas.,Terrible service. It seems that being Select is the worst thing in the world. More than an hour waiting because they only have one executive and she is attending to other things.,2023-10-18,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,REPUTATION,CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,October,10.0,Ciudad de México
Pésima atención la peor sucursal de este banco y ni la gerencia ni nadie hace nada por mejorar ojalá Los Altos mandos de Santander hagan algo ya qué hay muchísimas quejas y opiniones negativas de esta sucursal traten de ir a otra mejor o cambien de banco,"Terrible service, the worst branch of this bank and neither the management nor anyone does anything to improve. I hope the higher-ups at Santander do something since there are many complaints and negative opinions about this branch. Try to go to a better one or change banks.",2023-08-18,Banco Santander,maps,Ciudad de México,10,Social Capital,Social Internal,WORK-LIFE BALANCE,CUSTOMER WELFARE,si,si,Social Internal,Social Capital,NEGATIVE,2023.0,August,8.0,Ciudad de México
"Terrible servicio!!! Me sacaron de la sucursal, para hacerme esperar afuera sin explicación alguna.","Terrible service!!! They took me out of the branch, to make me wait outside without any explanation.",2023-08-14,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,August,8.0,Ciudad de México
Mala atención de recepción Santander Select,Bad reception service Santander Select,2023-10-18,Banco Santander,maps,Ciudad de México,20,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,October,10.0,Ciudad de México
Los 3 cajeros fuera de servicio...,The 3 ATMs out of service...,2024-07-14,Banco Santander,maps,Ciudad de México,25,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,July,7.0,Ciudad de México
"Pésimo servicio, groseros y prepotentes. No sé cómo se ha mantenido abierto. Muy mala atención.","Terrible service, rude and arrogant. I don&#39;t know how it&#39;s stayed open. Very bad attention.",2024-01-02,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,January,1.0,Ciudad de México
Muy bien ubicado y muy buen servicio!!!,Very well located and very good service!!!,2023-07-12,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,NEGATIVE,2023.0,July,7.0,Ciudad de México
"Me negaron el servicio de caja y me mandaron a la de afuerzas al cajero.
La señora de recepción muy desinteresada de su trabajo y algo especial, como que no le gusta su trabajo, deberían de poner gente más atenta y servical.","They denied me cashier service and sent me to the cashier. The lady at the reception was very disinterested in her job and something special, like she doesn&#39;t like her job, they should have more attentive and helpful people.",2024-02-12,Banco Santander,maps,Ciudad de México,25,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2024.0,February,2.0,Ciudad de México
"Excelente servicio de todo el personal
Desde la directora con una atención profesional en todo momento hasta los cajeros muy atentos y serviciales",Excellent service from all staff From the director with professional attention at all times to the very attentive and helpful cashiers,2024-06-18,Banco Santander,maps,Ciudad de México,95,Human Capital,Social Internal,COMMUNICATION (BOSS),EMPLOYEE HEALTH & SAFETY,si,si,Social Internal,Human Capital,POSITIVE,2024.0,June,6.0,Ciudad de México
"Excelente atención de la directora, siempre buscando dar una solución a los clientes. Los ejecutivos dan buen servicio.","Excellent attention from the director, always seeking to provide a solution to clients. The executives give good service.",2024-06-18,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
"Excelente sucursal, el personal muy amable y respetuosa siempre me ayudan con mis dudas. Sigan así","Excellent branch, very friendly and respectful staff always help me with my questions. Keep in that way",2024-06-17,Banco Santander,maps,Ciudad de México,95,Human Capital,Social Internal,WORK-LIFE BALANCE,EMPLOYEE HEALTH & SAFETY,si,si,Social Internal,Human Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
"Es la peor sucursal a la que he acudido, su directora de sucursal es una basura, tiene una pésima gestión de atención al cliente e incluso el día de ayer solo tenía un ejecutivo atendiendo, y los ejecutivos son de lo peor. Tuve que recoger una tarjeta ya que ahí la mandaron y nunca me dieron el NIP y dejaron la cuenta bloqueada, todo por querer hacer las cosas de rápido","It is the worst branch I have ever been to, its branch manager is rubbish, it has terrible customer service management and even yesterday it only had one executive serving, and the executives are the worst. I had to pick up a card since they sent it there and they never gave me the PIN and left the account blocked, all because they wanted to do things quickly",2023-12-23,Banco Santander,maps,Ciudad de México,10,Social Capital,Social Internal,WORK-LIFE BALANCE,CUSTOMER WELFARE,si,si,Social Internal,Social Capital,NEGATIVE,2023.0,December,12.0,Ciudad de México
Pésima atención para reposición de plástico 2 horas 1 solo ejecutivo atendiendo,Terrible service for plastic replacement 2 hours 1 only executive attending,2024-05-03,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2024.0,May,5.0,Ciudad de México
"Excelente servicio
Muy buena atención por parte de todos los trabajadores",Excellent service Very good attention from all workers,2024-06-14,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2024.0,June,6.0,Ciudad de México
"Son muy groseros, hasta entre ellos mismos, me tuvieron 2 horas esperando y no tuvieron la capaciad de resolver mi problema. Me cambiare de banco.
Deberian tener mayor número de personal y unas clases de modales.","They are very rude, even among themselves, they kept me waiting for 2 hours and they were not able to solve my problem. I&#39;ll change banks. They should have more staff and some manners classes.",2023-12-05,Banco Santander,maps,Ciudad de México,15,Human Capital,Social Internal,WORK-LIFE BALANCE,EMPLOYEE HEALTH & SAFETY,si,si,Social Internal,Human Capital,POSITIVE,2023.0,December,12.0,Ciudad de México
"escelente servicio, la atencion es rapida.","excellent service, attention is fast.",2024-06-16,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
"En cajas muy buen servicio y rapidez, excelente servicio en cajas.","At checkouts, very good service and speed, excellent service at checkouts.",2024-06-16,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
Buena atención y no se tardan mucho bien,Good service and they don&#39;t take long,2024-04-12,Banco Santander,maps,Ciudad de México,85,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2024.0,April,4.0,Ciudad de México
Muy bien servicio.,Very good service.,2023-07-08,CIBanco,maps,Guanajuato,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,POSITIVE,2023.0,July,7.0,León
"El cajero para pagar y depositar se traga el dinero y el
Proceso de aclaración es pésimo. El servicio de la sucursal es pésimo tambien",The cashier to pay and deposit swallows the money and the clarification process is terrible. The branch service is terrible too.,2023-06-29,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,June,6.0,Ciudad de México
Pésima atención en esta sucursal.  4 ejecutivos chateando y atendiendo clientes. Y dos cajeras. Una hostess que no sabe dar turnos y una incompetente del escritorio 9 que no sabe hacer su trabajo. Las cajeras se quejaron de ella. Por cierto. Que esta pasando en Santander!!!!!!,Terrible service in this branch. 4 executives chatting and serving clients. And two cashiers. A hostess who doesn&#39;t know how to give shifts and an incompetent at desk 9 who doesn&#39;t know how to do her job. The cashiers complained about her. By the way. What is happening in Santander!!!!!,2024-07-10,Banco Santander,maps,Jalisco,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,POSITIVE,2024.0,July,7.0,Guadalajara
La vrdd fui solo hacer reposición de tarjeta y todo Perfecto y buena atención y rapidísimo,The truth is I just had to replace the card and everything was perfect and good service and very fast,2024-06-06,Banco Santander,maps,Jalisco,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Guadalajara
"El sub-gerente (13-dic-23) es un prepotente, y prefiere adoptar un plan déspota, que dar soluciones. Tuve que hacer contacto con él debido a que el cajero automático se quedó con mi dinero sin darme ningún recibo ni explicación. Se tuvo que levantar un folio de aclaración, a lo que yo pregunté ¿quién absorbería los intereses que generaría la falta de pago? (Ya que era mi fecha límite, no llevaba más dinero, y la aclaración tomaría varios días hábiles), a lo que respondió ""no es mi problema"".
Investigando y escalando el caso, sí era posible, solo no estaba en disposición de hacerlo.","The assistant manager (Dec 13, 23) is arrogant, and prefers to adopt a despotic plan than provide solutions. I had to contact him because the ATM kept my money without giving me any receipt or explanation. A clarification sheet had to be prepared, to which I asked who would absorb the interest that would be generated by non-payment? (Since it was my deadline, I didn&#39;t have any more money, and the clarification would take several business days), to which he responded &quot;not my problem.&quot; Investigating and escalating the case was possible, I just wasn&#39;t in a position to do it.",2023-12-14,Banco Santander,maps,Jalisco,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,December,12.0,Guadalajara
"Se creen los dueños de tu dinero, no te dejan retirarlo si no los usas y contratas sus productos, pésima atención!","They think they are the owners of your money, they don&#39;t let you withdraw it if you don&#39;t use them and hire their products, terrible service!",2023-11-21,Banco Santander,maps,Jalisco,15,Social Capital,Social External,PAYMENT (MARKET),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,November,11.0,Guadalajara
"Pésimo servicio!!!!!
Solo atienden con una caja",Terrible service!!!!! They only serve with a box,2024-01-10,Banco Santander,maps,Jalisco,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2024.0,January,1.0,Guadalajara
"Mala atención por parte de la recepcionista y la ejecutiva de atención a clientes, además del largo tiempo de espera no me proporciononaron  toda la información necesaria para aperturar un producto, si el servicio fue malo queriendo dar de alta una cuenta, que me hubiera esperado como cliente. cero recomendable la sucursal y ese banco.","Bad service from the receptionist and the customer service executive, in addition to the long waiting time, they did not provide me with all the information necessary to open a product, if the service was bad, wanting to register an account, which I would have expected as customer. Zero recommend the branch and that bank.",2024-02-29,Banco Santander,maps,Ciudad de México,10,Social Capital,Environmental,ENVIRONMENTAL PROTOCOLS,CUSTOMER WELFARE,si,si,Environmental,Social Capital,NEGATIVE,2024.0,February,2.0,Ciudad de México
"Muy molesto con el servicio de cajeros automáticos
Ya que fui a pagar mi tarjeta y se trabo y me hicieron hacer una carta no traía para pagar más y al otro día me llegó una llamada de pagar mi tarjeta fui a pagar nuevamente y se volvió a trabar el cajero y terminaron regresandome el dinero una hora después y de mala gana me cobraron en ventanilla y de todos modos el banco me sancionó con 500 pesos por haber pagado en destiempo y no me regresaron el dinero lo abonaron a mi cuenta de todos modos les regale 500 pesos que bien me hubieran servido para cenar pésimo servicio","Very annoying with the ATM service. Since I went to pay my card and it got stuck and they made me write a letter I didn&#39;t have to pay more and the next day I got a call to pay my card I went to pay again and it got stuck again the teller and they ended up returning the money to me an hour later and reluctantly they charged me at the counter and anyway the bank fined me 500 pesos for having paid late and they did not return the money to me they credited it to my account anyway I gave them a gift 500 pesos that would have been good for dinner, terrible service",2024-07-12,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,July,7.0,Ciudad de México
"Pesimo servicio tardan mucho en atender, y pasan primero a otros que llegan después, solo se la pasan platicando con amigos o conocidos y no atienden a los clientes.
TE HACEN ESPERAR MAS DE UNA HORA.","Terrible service, they take a long time to attend, and they pass first to others who arrive later, they only spend their time talking with friends or acquaintances and do not attend to customers. THEY MAKE YOU WAIT MORE THAN AN HOUR.",2023-09-01,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,September,9.0,Ciudad de México
"Los ejecutivos platicando con sus amigos, digo ""clientes"", cajeros lentos, y un tiempo normal de espera de UNA HORA!
El cajero de pagos y depósitos NO DA COMPROBANTES, y tienes que regresar a ingresar carta y esperar 2 semanas para la reimpresión.  😑","Executives chatting with their friends, I mean &quot;customers&quot;, slow cashiers, and a normal wait time of ONE HOUR! The payment and deposit cashier DOES NOT GIVE RECEIPTS, and you have to return to enter the letter and wait 2 weeks for the reprint. 😑",2023-05-05,Banco Santander,maps,Ciudad de México,20,Social Capital,Social External,PAYMENT (TIMELY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,May,5.0,Ciudad de México
"Pésimo servicio, 30 minutos esperando y nunca me pasaron a ventanilla y el chico de recepción no atendía solo se la pasaba de un lado a otro","Terrible service, 30 minutes waiting and they never showed me to the window and the guy at the reception didn&#39;t answer, he just passed it from one side to the other",2023-11-27,Banco Santander,maps,Ciudad de México,10,Social Capital,Environmental,ENVIRONMENTAL CULTURE,CUSTOMER WELFARE,si,si,Environmental,Social Capital,MIXED,2023.0,November,11.0,Ciudad de México
"Este es el único lugar que me hace odiar al mundo, la atención es tardada, sólo dan largas, los ejecutivos están en el celular en lugar de atender. Un asco","This is the only place that makes me hate the world, the service is slow, they just drag their feet, the executives are on their cell phones instead of answering. Disgusting",2023-05-30,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,May,5.0,Ciudad de México
"Pésima experiencia con ejecutivos, el servicio telefónico es más amable","Terrible experience with executives, telephone service is friendlier",2023-07-20,Banco Santander,maps,Ciudad de México,25,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,si,Social External,Social Capital,NEGATIVE,2023.0,July,7.0,Ciudad de México
"El servicio es PÉSIMO, solo una caja abierta para atender a todos sus clientes","The service is TERRIBLE, just an open box to serve all its customers",2023-05-02,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,May,5.0,Ciudad de México
Muy mal servicio siempre hay gente y 1 solo cajero. Muy mal,"Very bad service, there are always people and only 1 cashier. Very badly",2023-06-09,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,June,6.0,Ciudad de México
Es excelente el servicio,The service is excellent,2024-06-13,Banco Santander,maps,Ciudad de México,90,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,no,no,Social External,Social Capital,NEGATIVE,2024.0,June,6.0,Ciudad de México
Muy MAL servicio de los.agentes de.piso y caja,Very BAD service from the floor and cashier agents,2023-08-05,Banco Santander,maps,Ciudad de México,10,Social Capital,Social External,CUSTOMER MANAGEMENT (QUALITY),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2023.0,August,8.0,Ciudad de México
"Pésimo servicio
Muy lentossssss",Terrible service. Very slowsssss,,,,,10,,,,,no,si,,,,,,,
"Más que pésimo servicio, creo que es el peor banco del mundo, no hay organización,hacen esperar a la gente afuera en una larga fila en el sol, hay un chico que da los turnos pero solo pierde el tiempo platicando con sus colegas. La cajera que me atendió se llama Alejandra,una señora muy poco amable y mal encarada, exigiéndome un turno que el encargado nunca me dió, se tuvo que acercar otra chica mal encarada a darme un turno,si no,la señora Alejandra cajera no me hubiese atendido, Servicio pésimo! Horrible, en general el banco es pésimo y el servicio es peor.","More than terrible service, I think it is the worst bank in the world, there is no organization, they make people wait outside in a long line in the sun, there is a guy who gives the shifts but only wastes time talking with his colleagues. The cashier who served me is called Alejandra, a very unkind and rude lady, demanding a turn that the manager never gave me, another girl with a bad face had to come over to give me a turn, otherwise Mrs. Alejandra, the cashier, wouldn&#39;t give me a turn. I would have attended, Terrible service! Horrible, in general the bank is terrible and the service is worse.",2023-12-29,Banco Santander,maps,Jalisco,10,Social Capital,Environmental,ENVIRONMENTAL CULTURE,CUSTOMER WELFARE,si,si,Environmental,Social Capital,NEGATIVE,2023.0,December,12.0,Guadalajara
"Yo soy cliente de Santander y en todas las sucursales es la misma experiencia, lentos largas filas o hay que esperar varios minutos...45 en promedio para ser atendido, en la sucursal de revolución la chica de las fichas es grosera y cuando fui a cambiar morralla me preguntó la persona de caja ""es cliente"" como si no fuera obligación de todos los bancos el disponer de cambio suficiente para los usuarios","I am a Santander customer and in all the branches it is the same experience, slow, long lines or you have to wait several minutes...45 on average to be served, in the revolution branch the girl with the tokens is rude and when I went to changing trash, the cashier asked me, &quot;are you a customer?&quot; as if it were not the obligation of all banks to have enough change for users.",2024-01-22,Banco Santander,maps,Jalisco,25,Social Capital,Social External,CUSTOMER MANAGEMENT (VALUE),CUSTOMER WELFARE,si,si,Social External,Social Capital,NEGATIVE,2024.0,January,1.0,Guadalajara
La peor experiencia que e tenido en un banco llegué alas 1pm y salí hasta las 4:00 pm por qué los empleados no atienden por qué no les da la gana lastima que tienen buenas promociones en tarjetas de crédito por qué definitivamente ya no voy a usar sus servicios ya que cada vez que tengo que acudir a sucursal es un dolor de cabeza cada vez que voy hay personal diferente pero todos son iguales no les da la gana atender a excepción  de un chico que estaba hace como 3 meses todos los demás empleados parece que les pagar por hacer enojar alos clientes,"The worst experience I have ever had in a bank, I arrived at 1pm and left until 4:00pm why the employees don&#39;t answer why they don&#39;t feel like it, it&#39;s a shame they have good promotions on credit cards why I&#39;m definitely not going to use them anymore their services since every time I have to go to the branch it is a headache every time I go there is different staff but they are all the same they don&#39;t feel like serving except for one guy who was there about 3 months ago all the other employees seem What to pay them for making customers angry",2023-10-21,Banco Santander,maps,Jalisco,10,Human Capital,Social Internal,WORK-LIFE BALANCE,EMPLOYEE HEALTH & SAFETY,si,si,Social Internal,Human Capital,POSITIVE,2023.0,October,10.0,Guadalajara
"No vuelvo a ir este lugar desafortunadamente mi nómina está con Santander pero el día de hoy ya pedí a mi empresa me cambié ya que acudí por primera vez a la sucursal y estuve al rededor de 3 horas esperando a que me atendieran ya que los 2 empleados de los escritorios estaban con su celular todo el tiempo y en llamadas personales apesar de que solo habíamos pocos clientes no nos pasaban a los escritorios enserio no sé si quieran que el banco quiebre o estén en huelga pero no te atienden, uno como usuario pierde todo el día de trabajo por qué los encargados simplemente no se les antoja atender además de que me parece poco profesional que los empleados si estén todo el tiempo con el celular cuando a uno como cliente si le prohíben  usarlo lo cual me parece bien pero a los empleados también les deverian prohibir usarlo y tal vez asi si se pongan a atender enserio deverian de monitorear las cámaras de esta sucursal por qué no son para nada profesionales ni el banco bienestar que regala el dinero funciona tan mal","I will not go to this place again unfortunately my payroll is with Santander but today I already asked my company to change since I went to the branch for the first time and I spent around 3 hours waiting to be attended to since the 2 employees At the desks they were on their cell phone all the time and on personal calls even though there were only a few customers, they didn&#39;t show us to the desks. I seriously don&#39;t know if they want the bank to go bankrupt or if they are on strike but they don&#39;t serve you, as a user you lose everything. on the work day, why do the managers simply not feel like attending to it? In addition, it seems unprofessional to me that the employees are on their cell phones all the time when, as a customer, they prohibit you from using it, which seems fine to me, but to the employees They should also prohibit them from using it and maybe if they start to seriously attend to it they should monitor the cameras of this branch because they are not professional at all nor does the welfare bank that gives the money work so badly",2023-10-21,Banco Santander,maps,Jalisco,10,Social Capital,Social Internal,WORK-LIFE BALANCE,CUSTOMER WELFARE,si,si,Social Internal,Social Capital,NEGATIVE,2023.0,October,10.0,Guadalajara
Fui ala sucursal  el día miércoles 18 de octubre  de 2023 despues de esperar mas de 2 horas a que me atendieran no pudieron por que el único ejecutivo  que estaba me atendiendo de muy mal humor me dijo que no  podía  hacer nada y me comentó  que por que el  director habia salido de sucursal  y no sabia cuando regresaba definitivamente muy mala experiencia la sucursal  totalmente  esta de adorno lastimosamente apesar de tener más de 10 años como cliente tuve  que  cancelar todo lo contratado por que la atención  es nula y de muy mala forma  por parte del personal que labora en sucursal,"I went to the branch on Wednesday, October 18, 2023, after waiting more than 2 hours for them to assist me, they couldn&#39;t because the only executive who was assisting me in a very bad mood told me that he couldn&#39;t do anything and told me why. The director had left the branch and did not know when he would return. Very bad experience. The branch is completely decorated. Unfortunately, despite having been a customer for more than 10 years, I had to cancel everything contracted because the attention is zero and in a very bad way on the part. of the staff working in the branch",2023-10-21,Banco Santander,maps,Jalisco,10,Human Capital,Environmental,ENVIRONMENTAL CULTURE,LABOR PRACTICES,si,si,Environmental,Human Capital,NEGATIVE,2023.0,October,10.0,Guadalajara
